YEAR,PLAYER,POS,TEAM,FG%,PPG,RPG,APG,BLKPG
2020,Anthony Davis,F,Los Angeles Lakers,0.503,26.1,9.3,3.2,2.3
2020,Marcus Smart,G,Boston Celtics,0.375,12.9,3.8,4.9,0.5
2020,Rudy Gobert,C,Utah Jazz,0.693,15.1,13.5,1.5,2
2020,Giannis Antetokounmpo,F,Milwaukee Bucks,0.553,29.5,13.6,5.6,1
2020,Ben Simmons,G,Philadelphia 76ers,0.58,16.4,7.8,8,0.6
2019,Eric Bledsoe,G,Milwaukee Bucks,0.484,15.9,4.6,5.5,0.4
2019,Paul George,F,Oklahoma City Thunder,0.438,28,8.2,4.1,0.4
2019,Marcus Smart,G,Boston Celtics,0.422,8.9,2.9,4,0.4
2019,Rudy Gobert,C,Utah Jazz,0.669,15.9,12.9,2,2.3
2019,Giannis Antetokounmpo,F,Milwaukee Bucks,0.578,27.7,12.5,5.9,1.5
2018,Jrue Holiday,G,New Orleans Pelicans,0.494,19,4.5,6,0.8
2018,Anthony Davis,F,New Orleans Pelicans,0.534,28.1,11.1,2.3,2.6
2018,Robert Covington,F,Philadelphia 76ers,0.413,12.6,5.4,2,0.9
2018,Victor Oladipo,G,Indiana Pacers,0.477,23.1,5.2,4.3,0.8
2018,Rudy Gobert,C,Utah Jazz,0.622,13.5,10.7,1.4,2.3
2017,Chris Paul,G,LA Clippers,0.476,18.1,5,9.2,0.1
2017,Patrick Beverley,G,Houston Rockets,0.42,9.5,5.9,4.2,0.4
2017,Kawhi Leonard,F,San Antonio Spurs,0.485,25.5,5.8,3.5,0.7
2017,Draymond Green,F,Golden State Warriors,0.418,10.2,7.9,7,1.4
2017,Rudy Gobert,C,Utah Jazz,0.661,14,12.8,1.2,2.6
2016,Chris Paul,G,LA Clippers,0.462,19.5,4.2,10,0.2
2016,DeAndre Jordan,C,LA Clippers,0.703,12.7,13.8,1.2,2.3
2016,Avery Bradley,G,Boston Celtics,0.448,15.2,2.9,2.1,0.3
2016,Kawhi Leonard,F,San Antonio Spurs,0.505,21.2,6.8,2.6,1
2016,Draymond Green,F,Golden State Warriors,0.49,14,9.5,7.4,1.4
2015,Tony Allen,G,Memphis Grizzlies,0.495,8.6,4.4,1.4,0.5
