YEAR,PLAYER,POS,TEAM,FG%,PPG,RPG,APG,BLKPG
2020,LeBron James,F,Los Angeles Lakers,0.493,25.3,7.8,10.2,0.5
2020,James Harden,G,Houston Rockets,0.444,34.3,6.6,7.5,0.9
2020,Anthony Davis,F,Los Angeles Lakers,0.503,26.1,9.3,3.2,2.3
2020,Giannis Antetokounmpo,F,Milwaukee Bucks,0.553,29.5,13.6,5.6,1
2020,Luka Doncic,G,Dallas Mavericks,0.463,28.8,9.4,8.8,0.2
2019,Stephen Curry,G,Golden State Warriors,0.472,27.3,5.3,5.2,0.4
2019,James Harden,G,Houston Rockets,0.442,36.1,6.6,7.5,0.7
2019,Paul George,F,Oklahoma City Thunder,0.438,28,8.2,4.1,0.4
2019,Giannis Antetokounmpo,F,Milwaukee Bucks,0.578,27.7,12.5,5.9,1.5
2019,Nikola Jokic,C,Denver Nuggets,0.511,20.1,10.8,7.3,0.7
2018,LeBron James,F,Cleveland Cavaliers,0.542,27.5,8.6,9.1,0.9
2018,Kevin Durant,F,Golden State Warriors,0.516,26.4,6.8,5.4,1.8
2018,James Harden,G,Houston Rockets,0.449,30.4,5.4,8.8,0.7
2018,Anthony Davis,F,New Orleans Pelicans,0.534,28.1,11.1,2.3,2.6
2018,Damian Lillard,G,Portland Trail Blazers,0.439,26.9,4.5,6.6,0.4
2017,LeBron James,F,Cleveland Cavaliers,0.548,26.4,8.6,8.7,0.6
2017,Russell Westbrook,G,Oklahoma City Thunder,0.425,31.6,10.7,10.4,0.4
2017,James Harden,G,Houston Rockets,0.44,29.1,8.1,11.2,0.5
2017,Kawhi Leonard,F,San Antonio Spurs,0.485,25.5,5.8,3.5,0.7
2017,Anthony Davis,F,New Orleans Pelicans,0.505,28,11.8,2.1,2.2
2016,LeBron James,F,Cleveland Cavaliers,0.52,25.3,7.4,6.8,0.6
2016,DeAndre Jordan,C,LA Clippers,0.703,12.7,13.8,1.2,2.3
2016,Russell Westbrook,G,Oklahoma City Thunder,0.454,23.5,7.8,10.4,0.3
2016,Stephen Curry,G,Golden State Warriors,0.504,30.1,5.4,6.7,0.2
2016,Kawhi Leonard,F,San Antonio Spurs,0.505,21.2,6.8,2.6,1
2015,LeBron James,F,Cleveland Cavaliers,0.488,25.3,6,7.4,0.7
2015,Marc Gasol,C,Memphis Grizzlies,0.494,17.4,7.8,3.8,1.6
2015,Stephen Curry,G,Golden State Warriors,0.487,23.8,4.3,7.7,0.2
2015,James Harden,G,Houston Rockets,0.44,27.4,5.7,7,0.7
2015,Anthony Davis,F,New Orleans Pelicans,0.535,24.4,10.2,2.2,2.9
2014,LeBron James,F,Miami Heat,0.567,27.1,6.9,6.4,0.3
2014,Chris Paul,G,LA Clippers,0.467,19.1,4.3,10.7,0.1
2014,Kevin Durant,F,Oklahoma City Thunder,0.503,32,7.4,5.5,0.7
2014,Joakim Noah,C,Chicago Bulls,0.475,12.6,11.3,5.4,1.5
2014,James Harden,G,Houston Rockets,0.456,25.4,4.7,6.1,0.4
2013,Kobe Bryant,G,Los Angeles Lakers,0.463,27.3,5.6,6,0.3
2013,Tim Duncan,F,San Antonio Spurs,0.502,17.8,9.9,2.7,2.7
2013,LeBron James,F,Miami Heat,0.565,26.8,8,7.3,0.9
2013,Chris Paul,G,LA Clippers,0.481,16.9,3.7,9.7,0.1
2013,Kevin Durant,F,Oklahoma City Thunder,0.51,28.1,7.9,4.6,1.3
2012,Kobe Bryant,G,Los Angeles Lakers,0.43,27.9,5.4,4.6,0.3
2012,LeBron James,F,Miami Heat,0.531,27.1,7.9,6.2,0.8
2012,Dwight Howard,C,Los Angeles Lakers,0.573,20.6,14.5,1.9,2.1
2012,Chris Paul,G,LA Clippers,0.478,19.8,3.6,9.1,0.1
2012,Kevin Durant,F,Oklahoma City Thunder,0.496,28,8,3.5,1.2
2011,Kobe Bryant,SF,Los Angeles Lakers,0.451,25.3,5.1,4.7,0.1
2011,LeBron James,SF,Miami Heat,0.51,26.7,7.5,7,0.6
2011,Dwight Howard,C,Orlando Magic,0.593,22.9,14.1,1.4,2.4
2011,Kevin Durant,PF,Oklahoma City Thunder,0.462,27.7,6.8,2.7,1
2011,Derrick Rose,PG,Chicago Bulls,0.445,25,4.1,7.7,0.6
2010,Kobe Bryant,G,Los Angeles Lakers,0.456,27,5.4,5,0.3
2010,LeBron James,F,Cleveland Cavaliers,0.503,29.7,7.3,8.6,1
2010,Dwyane Wade,G,Miami Heat,0.476,26.6,4.8,6.5,1.1
2010,Dwight Howard,C,Orlando Magic,0.612,18.3,13.2,1.8,2.8
2010,Kevin Durant,F,Oklahoma City Thunder,0.476,30.1,7.6,2.8,1
2009,Kobe Bryant,G,Los Angeles Lakers,0.467,26.8,5.2,4.9,0.5
2009,Dirk Nowitzki,F,Dallas Mavericks,0.479,25.9,8.4,2.4,0.8
2009,LeBron James,F,Cleveland Cavaliers,0.489,28.4,7.6,7.2,1.1
2009,Dwyane Wade,G,Miami Heat,0.491,30.2,5,7.5,1.3
