YEAR,PLAYER,POS,TEAM,FG%,PPG,RPG,APG,BLKPG
2020,Kendrick Nunn,G,Miami Heat,0.439,15.3,2.7,3.3,0.2
2020,Eric Paschall,F,Golden State Warriors,0.497,14,4.6,2.1,0.2
2020,Brandon Clarke,F,Memphis Grizzlies,0.618,12.1,5.9,1.4,0.8
2020,Ja Morant,G,Memphis Grizzlies,0.477,17.8,3.9,7.3,0.3
2020,Zion Williamson,F,New Orleans Pelicans,0.583,22.5,6.3,2.1,0.4
2019,Luka Doncic,G,Dallas Mavericks,0.427,21.2,7.8,6,0.3
2019,Marvin Bagley,F,Sacramento Kings,0.504,14.9,7.6,1,1
2019,Trae Young,G,Atlanta Hawks,0.418,19.1,3.7,8.1,0.2
2019,Jaren Jackson,F,Memphis Grizzlies,0.506,13.8,4.7,1.1,1.4
2019,Deandre Ayton,C,Phoenix Suns,0.585,16.3,10.3,1.8,0.9
2018,Kyle Kuzma,F,Los Angeles Lakers,0.45,16.1,6.3,1.8,0.4
2018,Ben Simmons,F,Philadelphia 76ers,0.545,15.8,8.1,8.2,0.9
2018,Donovan Mitchell,G,Utah Jazz,0.437,20.5,3.7,3.7,0.3
2018,Jayson Tatum,F,Boston Celtics,0.475,13.9,5,1.6,0.7
2018,Lauri Markkanen,F,Chicago Bulls,0.434,15.2,7.5,1.2,0.6
2017,Malcolm Brogdon,G,Milwaukee Bucks,0.457,10.2,2.8,4.2,0.2
2017,Buddy Hield,G,Sacramento Kings,0.426,10.6,3.3,1.5,0.1
2017,Willy Hernangomez,C,New York Knicks,0.529,8.2,7,1.3,0.5
2017,Dario Saric,F,Philadelphia 76ers,0.411,12.8,6.3,2.2,0.4
2017,Joel Embiid,C,Philadelphia 76ers,0.466,20.2,7.8,2.1,2.5
2016,Kristaps Porzingis,F,New York Knicks,0.421,14.3,7.3,1.3,1.9
2016,Nikola Jokic,C,Denver Nuggets,0.512,10,7,2.4,0.6
2016,Jahlil Okafor,C,Philadelphia 76ers,0.508,17.5,7,1.2,1.2
2016,Devin Booker,G,Phoenix Suns,0.423,13.8,2.5,2.6,0.3
2016,Karl-Anthony Towns,F,Minnesota Timberwolves,0.542,18.3,10.5,2,1.7
2015,Nikola Mirotic,F,Chicago Bulls,0.405,10.2,4.9,1.2,0.7
2015,Jordan Clarkson,G,Los Angeles Lakers,0.448,11.9,3.2,3.5,0.2
2015,Elfrid Payton,G,Orlando Magic,0.425,8.9,4.3,6.5,0.2
2015,Nerlens Noel,C,Philadelphia 76ers,0.462,9.9,8.1,1.7,1.9
