,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,Kareem Abdul-Jabbar,1971-72,24,MIL,NBA,25.4,81,,3583,29.9,,.363,,,18.1,16.1,,,,,,,18.3,7.1,.340,,,,
1,Wilt Chamberlain,1963-64,27,SFW,NBA,25.0,80,,3689,31.6,,.442,,,,,,,,,,,14.4,10.6,.325,,,,
2,George Mikan,1950-51,26,MNL,NBA,23.4,68,,,,,.453,,,,,,,,,,,16.0,7.4,,,,,
3,Wilt Chamberlain,1961-62,25,PHW,NBA,23.1,80,,3882,31.7,,.431,,,,,,,,,,,17.1,6.0,.286,,,,
4,Kareem Abdul-Jabbar,1970-71,23,MIL,NBA,22.3,82,,3288,29.0,,.370,,,18.9,12.2,,,,,,,17.0,5.3,.326,,,,
5,Kareem Abdul-Jabbar,1972-73,25,MIL,NBA,21.9,76,,3254,28.5,,.260,,,18.2,17.9,,,,,,,14.4,7.5,.322,,,,
6,Wilt Chamberlain,1966-67,30,PHI,NBA,21.9,81,,3682,26.5,,.761,,,,21.7,,,,,,,14.8,7.0,.285,,,,
7,Wilt Chamberlain,1965-66,29,PHI,NBA,21.4,79,,3737,28.3,,.490,,,,16.8,,,,,,,12.9,8.5,.275,,,,
8,Michael Jordan,1987-88,24,CHI,NBA,21.2,82,82,3311,31.7,.027,.430,4.8,10.7,7.8,27.0,3.9,2.4,9.6,34.1,123,101,15.2,6.1,.308,8.8,4.2,13.0,12.5
9,George Mikan,1949-50,25,MNL,NBA,21.1,68,,,,,.456,,,,,,,,,,,15.3,5.8,,,,,
10,Wilt Chamberlain,1962-63,26,SFW,NBA,20.9,80,,3806,31.8,,.402,,,,,,,,,,,16.0,5.0,.264,,,,
11,George Mikan,1948-49,24,MNL,BAA,20.9,60,,,,,.491,,,,,,,,,,,17.6,3.2,,,,,
12,Oscar Robertson,1963-64,25,CIN,NBA,20.6,79,,3559,27.6,,.539,,,,,,,,,,,16.2,4.4,.278,,,,
13,Wilt Chamberlain,1967-68,31,PHI,NBA,20.4,82,,3836,24.7,,.677,,,,23.2,,,,,,,9.7,10.7,.255,,,,
14,Michael Jordan,1995-96,32,CHI,NBA,20.4,82,82,3090,29.4,.141,.355,5.6,14.9,10.2,21.2,3.1,1.0,8.4,33.3,124,100,14.2,6.2,.317,8.3,2.2,10.5,9.8
15,LeBron James,2008-09,24,CLE,NBA,20.3,81,81,3054,31.7,.238,.472,4.3,19.0,11.9,38.0,2.4,2.4,11.0,33.8,122,99,13.7,6.5,.318,9.5,3.7,13.2,11.8
16,Michael Jordan,1990-91,27,CHI,NBA,20.3,82,82,3034,31.6,.051,.365,4.6,14.3,9.5,25.2,3.7,1.7,8.7,32.9,125,102,14.9,5.4,.321,8.9,3.2,12.0,10.8
17,David Robinson,1993-94,28,SAS,NBA,20.0,80,80,3241,30.7,.017,.558,8.8,20.3,14.8,21.6,2.3,5.4,10.9,32.0,119,98,13.3,6.7,.296,8.1,3.8,11.9,11.4
18,Michael Jordan,1988-89,25,CHI,NBA,19.8,81,81,3255,31.1,.055,.442,5.5,17.3,11.6,34.7,3.6,1.2,11.9,32.1,123,103,14.6,5.2,.292,8.4,3.4,11.9,11.4
19,LeBron James,2012-13,28,MIA,NBA,19.3,76,76,2877,31.6,.188,.395,4.4,20.8,13.1,36.4,2.4,1.9,12.4,30.2,125,101,14.6,4.7,.322,9.3,2.4,11.7,9.9
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Kevin Durant,2013-14,25,OKC,NBA,19.2,81,81,3122,29.8,.291,.477,2.2,18.6,10.8,26.7,1.7,1.5,12.2,33.0,123,104,14.8,4.4,.295,8.8,1.4,10.2,9.6
22,Michael Jordan,1989-90,26,CHI,NBA,19.0,82,82,3197,31.2,.125,.356,5.3,15.6,10.4,28.6,3.5,1.1,9.8,33.7,123,106,14.7,4.3,.285,9.1,2.1,11.2,10.6
23,Kevin Durant,2012-13,24,OKC,NBA,18.9,81,81,3119,28.3,.233,.523,1.8,20.3,11.8,21.7,1.9,2.6,13.7,29.8,122,100,13.6,5.3,.291,7.6,1.7,9.3,8.9
24,Wilt Chamberlain,1960-61,24,PHW,NBA,18.8,79,,3773,27.8,,.429,,,,,,,,,,,12.3,6.5,.240,,,,
25,Bob Feerick,1946-47,27,WSC,BAA,18.6,55,,,,,.286,,,,,,,,,,,14.1,4.5,,,,,
26,Shaquille O'Neal,1999-00,27,LAL,NBA,18.6,79,79,3163,30.6,.001,.495,11.5,24.8,18.3,19.3,0.6,5.3,9.9,31.2,115,95,11.7,7.0,.283,7.3,2.0,9.3,9.0
27,LeBron James,2009-10,25,CLE,NBA,18.5,76,76,2966,31.1,.253,.506,3.0,18.5,11.1,41.8,2.2,2.0,12.3,33.5,121,102,13.3,5.2,.299,9.1,2.8,11.8,10.3
28,Kareem Abdul-Jabbar,1973-74,26,MIL,NBA,18.4,81,,3548,24.4,,.239,8.8,23.9,16.9,16.1,1.4,4.0,,,,89,10.6,7.9,.250,5.0,2.5,7.5,8.6
29,Kevin Garnett,2003-04,27,MIN,NBA,18.3,82,82,3231,29.4,.027,.289,9.1,30.0,20.1,24.4,2.0,4.0,10.5,29.6,112,92,10.4,8.0,.272,6.8,3.3,10.2,10.0
30,Neil Johnston,1953-54,24,PHW,NBA,18.3,72,,3296,25.6,,.586,,,,,,,,,,,15.4,3.0,.267,,,,
31,Michael Jordan,1996-97,33,CHI,NBA,18.3,82,82,3106,27.8,.157,.304,4.2,13.2,8.8,21.2,2.4,1.1,7.2,33.2,121,102,13.3,5.0,.283,7.8,1.1,8.9,8.6
32,Chris Paul,2008-09,23,NOH,NBA,18.3,78,78,3002,30.0,.140,.418,2.8,14.6,8.7,54.5,3.9,0.3,13.5,27.5,124,103,13.3,5.0,.292,7.2,3.8,11.0,9.9
33,David Robinson,1995-96,30,SAS,NBA,18.3,82,82,3019,29.4,.007,.597,12.3,24.2,18.4,14.6,1.9,6.4,9.8,28.8,120,96,11.1,7.2,.290,5.8,3.1,8.9,8.3
34,Wilt Chamberlain,1972-73,36,LAL,NBA,18.2,82,,3542,19.1,,.776,,,19.6,12.5,,,,,,,10.7,7.5,.247,,,,
35,Alex Groza,1950-51,24,INO,NBA,18.0,66,,,,,.541,,,,,,,,,,,14.7,3.3,,,,,
36,Stephen Curry,2015-16,27,GSW,NBA,17.9,79,79,2700,31.5,.554,.250,2.9,13.6,8.6,33.7,3.0,0.4,12.9,32.6,125,103,13.8,4.1,.318,10.3,1.6,11.9,9.5
37,Alex Groza,1949-50,23,INO,NBA,17.9,64,,,,,.572,,,,,,,,,,,16.5,1.4,,,,,
38,Kareem Abdul-Jabbar,1976-77,29,LAL,NBA,17.8,82,,3016,27.8,,.350,9.2,27.2,18.4,16.8,1.5,4.4,,,,92,11.9,5.9,.283,6.8,2.6,9.4,8.7
39,Tim Duncan,2001-02,25,SAS,NBA,17.8,82,82,3329,27.0,.007,.466,9.6,25.9,18.0,18.3,1.0,4.3,12.7,29.0,114,96,10.7,7.1,.257,5.4,2.2,7.6,8.0
40,Bob McAdoo,1974-75,23,BUF,NBA,17.8,82,,3539,25.8,,.372,9.2,23.5,16.6,8.6,1.2,2.4,,,,95,12.7,5.1,.242,5.1,-0.4,4.7,6.0
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Chris Paul,2007-08,22,NOH,NBA,17.8,80,80,3006,28.3,.193,.302,2.4,10.3,6.2,52.2,3.9,0.1,12.1,25.7,125,103,13.2,4.6,.284,7.2,3.2,10.4,9.3
43,Michael Jordan,1991-92,28,CHI,NBA,17.7,80,80,3102,27.7,.055,.325,3.5,15.3,9.5,25.7,3.0,1.5,8.8,31.7,121,102,12.1,5.6,.274,7.2,2.5,9.7,9.2
44,Dirk Nowitzki,2005-06,27,DAL,NBA,17.7,81,81,3089,28.1,.173,.382,4.6,23.4,14.2,14.7,1.0,2.1,7.9,30.0,123,103,13.5,4.3,.275,7.8,0.4,8.1,7.9
45,David Robinson,1994-95,29,SAS,NBA,17.5,81,81,3074,29.1,.013,.570,9.1,22.6,16.2,13.7,2.2,5.9,11.1,29.9,120,99,10.7,6.7,.273,6.0,3.2,9.2,8.7
46,Oscar Robertson,1966-67,28,CIN,NBA,17.4,79,,3468,25.5,,.496,,,,35.1,,,,,,,14.7,2.7,.241,,,,
47,Charles Barkley,1989-90,26,PHI,NBA,17.3,79,79,3085,27.1,.078,.632,13.4,20.0,16.7,15.6,2.4,1.0,13.9,24.0,128,105,13.1,4.2,.269,7.2,1.0,8.2,8.0
48,Bill Russell,1963-64,29,BOS,NBA,17.3,78,,3482,19.3,,.398,,,,,,,,,,,1.3,16.0,.238,,,,
49,Michael Jordan,1992-93,29,CHI,NBA,17.2,78,78,3067,29.7,.115,.284,4.9,15.1,9.8,25.2,3.7,1.3,8.4,34.7,119,102,12.0,5.2,.270,8.7,2.6,11.2,10.2
50,Jerry West,1965-66,27,LAL,NBA,17.1,79,,3218,24.6,,.564,,,,21.9,,,,,,,14.4,2.7,.256,,,,
51,Kareem Abdul-Jabbar,1975-76,28,LAL,NBA,17.0,82,,3379,27.2,,.368,8.0,30.5,19.6,19.4,1.6,4.9,,,,90,9.8,7.2,.242,5.5,3.0,8.5,9.0
52,Wilt Chamberlain,1959-60,23,PHW,NBA,17.0,72,,3338,28.0,,.429,,,,,,,,,,,9.0,8.0,.245,,,,
53,Oscar Robertson,1964-65,26,CIN,NBA,17.0,75,,3421,26.7,,.472,,,,37.8,,,,,,,14.3,2.7,.238,,,,
54,David Robinson,1990-91,25,SAS,NBA,17.0,82,81,3095,27.4,.005,.569,12.6,24.7,19.0,10.9,2.0,6.2,13.7,26.6,119,96,9.4,7.6,.264,5.2,3.3,8.5,8.2
55,Michael Jordan,1986-87,23,CHI,NBA,16.9,82,82,3281,29.8,.029,.427,5.6,9.3,7.4,22.2,3.6,2.3,9.1,38.3,117,104,11.9,5.0,.247,8.4,2.4,10.8,10.6
56,Shaquille O'Neal,1993-94,21,ORL,NBA,16.9,81,81,3224,28.5,.001,.534,13.5,23.7,18.7,11.0,1.2,4.5,10.2,29.0,120,102,12.1,4.8,.252,6.2,0.6,6.8,7.2
57,Oscar Robertson,1965-66,27,CIN,NBA,16.9,76,,3493,25.2,,.511,,,,34.5,,,,,,,13.6,3.3,.232,,,,
58,Bill Russell,1964-65,30,BOS,NBA,16.9,78,,3466,19.5,,.435,,,,14.8,,,,,,,2.4,14.4,.234,,,,
59,Oscar Robertson,1962-63,24,CIN,NBA,16.8,80,,3521,24.6,,.476,,,,,,,,,,,14.1,2.7,.229,,,,
60,Charles Barkley,1987-88,24,PHI,NBA,16.7,80,80,3170,27.6,.122,.741,14.0,20.8,17.4,14.1,1.6,1.9,15.2,26.7,126,108,13.4,3.3,.253,7.3,0.1,7.4,7.5
61,Karl Malone,1996-97,33,UTA,NBA,16.7,82,82,2998,28.9,.008,.439,8.5,24.2,16.8,24.5,2.0,1.3,11.1,32.7,118,101,11.6,5.1,.268,7.1,1.2,8.2,7.7
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Jerry West,1964-65,26,LAL,NBA,16.7,74,,3066,25.0,,.477,,,,20.0,,,,,,,14.8,1.9,.261,,,,
64,Tim Duncan,2002-03,26,SAS,NBA,16.5,81,81,3181,26.9,.016,.455,9.9,27.3,19.0,19.5,0.9,5.2,12.9,28.0,112,94,9.5,6.9,.248,5.0,2.5,7.6,7.7
65,Magic Johnson,1989-90,30,LAL,NBA,16.5,79,79,2937,26.6,.243,.560,5.2,14.8,10.2,45.5,2.2,0.7,16.9,24.8,126,106,12.8,3.8,.270,8.3,1.8,10.1,8.9
66,James Harden,2014-15,25,HOU,NBA,16.4,81,81,2981,26.7,.378,.561,2.8,14.2,8.5,34.6,2.6,1.6,14.9,31.3,118,103,12.2,4.2,.265,7.0,1.8,8.8,8.1
67,Karl Malone,1997-98,34,UTA,NBA,16.4,81,81,3030,27.9,.004,.560,8.3,24.8,17.1,20.9,1.7,1.7,11.9,31.8,118,102,12.1,4.3,.259,6.6,0.7,7.3,7.1
68,Walt Bellamy,1961-62,22,CHP,NBA,16.3,79,,3344,26.3,,.455,,,,,,,,,,,13.4,2.8,.233,,,,
69,Joe Fulks,1946-47,25,PHW,BAA,16.3,60,,,,,.386,,,,,,,,,,,13.0,3.3,,,,,
70,LeBron James,2005-06,21,CLE,NBA,16.3,79,79,3361,28.1,.208,.447,2.6,17.1,9.8,32.8,2.0,1.5,10.7,33.6,115,104,12.0,4.3,.232,7.5,1.6,9.1,9.4
