Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,WS,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS/48
1,1969,NBA,1,1,MIL,Kareem Abdul-Jabbar\abdulka01,21.362,C,us,UCLA,1970,1989,273.4,1560,36.8,24.6,11.2,3.6,0.7,2,0.559,0.56,0.056,0.721,0.228
2,1959,NBA,,,PHW,Wilt Chamberlain\chambwi01,22.227,C,us,Kansas,1960,1973,247.3,1045,45.8,30.1,22.9,4.4,,,0.54,0.54,,0.511,0.248
3,2003,NBA,1,1,CLE,LeBron James\jamesle01,18.182,F-G,us,,2004,2021,241.9,1306,38.2,27,7.4,7.4,1.6,0.8,0.504,0.55,0.345,0.734,0.233
4,1985,NBA,1,13,UTA,Karl Malone\malonka01,21.335,F,us,Louisiana Tech,1986,2004,234.6,1476,37.2,25,10.1,3.6,1.4,0.8,0.516,0.519,0.274,0.742,0.205
5,1984,NBA,1,3,CHI,Michael Jordan\jordami01,21.128,G-F,us,UNC,1985,2003,214,1072,38.3,30.1,6.2,5.3,2.3,0.8,0.497,0.51,0.327,0.835,0.25
6,1984,NBA,1,16,UTA,John Stockton\stockjo01,22.091,G,us,Gonzaga,1985,2003,207.7,1504,31.8,13.1,2.7,10.5,2.2,0.2,0.515,0.541,0.384,0.826,0.209
7,1997,NBA,1,1,SAS,Tim Duncan\duncati01,21.066,F-C,vi,Wake Forest,1998,2016,206.4,1392,34,19,10.8,3,0.7,2.2,0.506,0.509,0.179,0.696,0.209
8,1998,NBA,1,9,MIL,Dirk Nowitzki\nowitdi01,20.01,F,de,,1999,2019,206.3,1522,33.8,20.7,7.5,2.4,0.8,0.8,0.471,0.496,0.38,0.879,0.193
9,1995,NBA,1,5,MIN,Kevin Garnett\garneke01,19.044,F-C,us,,1996,2016,191.4,1462,34.5,17.8,10,3.7,1.3,1.4,0.497,0.504,0.275,0.789,0.182
10,1960,NBA,1,1,CIN,Oscar Robertson\roberos01,21.144,G-F,us,Cincinnati,1961,1974,189.2,1040,42.2,25.7,7.5,9.5,0.1,0,0.485,0.485,,0.838,0.207
11,2005,NBA,1,4,NOH,Chris Paul\paulch01,20.058,G,us,Wake Forest,2006,2021,187.8,1079,34.7,18.3,4.5,9.4,2.1,0.1,0.471,0.508,0.37,0.872,0.241
12,1992,NBA,1,1,ORL,Shaquille O'Neal\onealsh01,20.115,C,us,LSU,1993,2011,181.7,1207,34.7,23.7,10.9,2.5,0.6,2.3,0.582,0.583,0.045,0.527,0.208
13,1987,NBA,1,1,SAS,David Robinson\robinda01,21.325,C,us,United States Naval Academy,1990,2003,178.7,987,34.7,21.1,10.6,2.5,1.4,3,0.518,0.52,0.25,0.736,0.25
14,1984,NBA,1,5,PHI,Charles Barkley\barklch01,21.125,F,us,Auburn,1985,2000,177.2,1073,36.7,22.1,11.7,3.9,1.5,0.8,0.541,0.581,0.266,0.735,0.216
15,1987,NBA,1,11,IND,Reggie Miller\millere01,21.307,G-F,us,UCLA,1988,2005,174.4,1389,34.3,18.2,3,3,1.1,0.2,0.471,0.516,0.395,0.888,0.176
16,1996,NBA,1,13,CHH,Kobe Bryant\bryanko01,17.312,G-F,us,,1997,2016,172.7,1346,36.1,25,5.2,4.7,1.4,0.5,0.447,0.479,0.329,0.837,0.17
17,1956,NBA,1,2,STL,Bill Russell\russebi01,22.083,C,us,San Francisco,1957,1969,163.5,963,42.3,15.1,22.5,4.3,,,0.44,0.44,,0.561,0.193
18,1984,NBA,1,1,HOU,Hakeem Olajuwon\olajuha01,21.155,C,ng,Houston,1985,2002,162.8,1238,35.7,21.8,11.1,2.5,1.7,3.1,0.512,0.514,0.202,0.712,0.177
19,1960,NBA,1,2,LAL,Jerry West\westje01,21.324,G,us,West Virginia,1961,1974,162.6,932,39.2,27,5.8,6.7,0.1,0,0.474,0.474,,0.814,0.213
20,1979,NBA,1,1,LAL,Magic Johnson\johnsma02,19.32,G-F,us,Michigan State,1980,1996,155.8,906,36.7,19.5,7.2,11.2,1.9,0.4,0.52,0.541,0.303,0.848,0.225
21,1998,NBA,1,10,BOS,Paul Pierce\piercpa01,20.259,F-G,us,Kansas,1999,2017,150,1343,34.2,19.7,5.6,3.5,1.3,0.6,0.445,0.478,0.368,0.806,0.157
22,1976,NBA,1,8,GSW,Robert Parish\parisro01,22.288,C,us,Centenary (LA),1977,1997,147,1611,28.4,14.5,9.1,1.4,0.8,1.5,0.537,0.537,0,0.721,0.154
23,1978,NBA,1,6,BOS,Larry Bird\birdla01,21.189,F,us,Indiana State University,1980,1992,145.8,897,38.4,24.3,10,6.3,1.7,0.8,0.496,0.509,0.376,0.886,0.203
24,1990,NBA,1,2,SEA,Gary Payton\paytoga01,21.344,G,us,Oregon State,1991,2007,145.5,1335,35.3,16.3,3.9,6.7,1.8,0.2,0.466,0.501,0.317,0.729,0.148
25,2007,NBA,1,2,SEA,Kevin Durant\duranke01,18.276,F-G,us,Texas,2008,2021,145.2,874,36.7,27,7,4.1,1.1,1.1,0.494,0.533,0.384,0.882,0.217
26,1996,NBA,1,5,MIN,Ray Allen\allenra02,20.347,G,us,UConn,1997,2014,145.1,1300,35.6,18.9,4.1,3.4,1.1,0.2,0.452,0.485,0.4,0.894,0.15
27,2001,NBA,1,3,ATL,Pau Gasol\gasolpa01,20.361,C-F,es,,2002,2019,144.1,1226,33.4,17,9.2,3.2,0.5,1.6,0.507,0.512,0.368,0.753,0.169
28,1948,BAA,1,4,NYK,Dolph Schayes\schaydo01,19.361,F-C,us,NYU,1950,1964,142.4,996,29.9,18.5,11.3,3.1,,,0.38,0.38,,0.849,0.229
29,2009,NBA,1,3,OKC,James Harden\hardeja01,19.308,G,us,Arizona State,2010,2021,141.7,875,34.5,25.2,5.5,6.5,1.6,0.5,0.444,0.513,0.363,0.859,0.226
30,1994,NBA,1,2,DAL,Jason Kidd\kiddja01,21.103,G,us,California,1995,2013,138.6,1391,36,12.6,6.3,8.7,1.9,0.3,0.4,0.429,0.349,0.785,0.133
31,2004,NBA,1,1,ORL,Dwight Howard\howardw01,18.203,C,us,,2005,2021,137.2,1171,32.7,16.2,12.1,1.4,0.9,1.9,0.586,0.589,0.155,0.566,0.172
32,1954,NBA,1,2,MLH,Bob Pettit\pettibo01,21.138,F-C,us,LSU,1955,1965,136,792,38.8,26.4,16.2,3,,,0.436,0.436,,0.761,0.213
33,1983,NBA,1,14,POR,Clyde Drexler\drexlcl01,21.011,G,us,Houston,1984,1998,135.6,1086,34.6,20.4,6.1,5.6,2,0.7,0.472,0.498,0.318,0.788,0.173
34,1976,NBA,1,6,BUF,Adrian Dantley\dantlad01,21.106,F-G,us,Notre Dame,1977,1991,134.2,955,35.8,24.3,5.7,3,1,0.2,0.54,0.541,0.171,0.818,0.189
35,1962,NBA,1,7,BOS,John Havlicek\havlijo01,21.357,F-G,us,Ohio State,1963,1978,131.7,1270,36.6,20.8,6.3,4.8,0.4,0.1,0.439,0.439,,0.815,0.136
36,1961,NBA,1,1,CHP,Walt Bellamy\bellawa01,21.252,C,us,Indiana,1962,1975,130,1043,37.3,20.1,13.7,2.4,0,0,0.516,0.516,,0.632,0.16
