"","Team","Player","College","Play_Yrs","Games","Year","Pick"
"1","PIT","Clifton McNeeley","University of Texas at El Paso",NA,NA,1947,1
"2","TRH","Glen Selbo","University of Wisconsin",1,13,1947,2
"3","BOS","Bulbs Ehlers","Purdue University",2,99,1947,3
"4","PRO","Walt Dropo","University of Connecticut",NA,NA,1947,4
"5","NYK","Dick Holub","Long Island University",1,48,1947,5
"6","PHW","Chink Crossin","University of Pennsylvania",3,147,1947,6
"7","STB","Jack Underman","Ohio State University",NA,NA,1947,7
"8","CHS","Paul Huston","Ohio State University",1,46,1947,8
"9","WSC","Dick O'Keefe","Santa Clara University",4,172,1947,9
"10","BLB","Larry Killick","University of Vermont",NA,NA,1947,10
"11","BLB","Robert Bolyard","University of Toledo",NA,NA,1947,11
"12","BLB","Elmer Gainer","DePaul University",2,20,1947,12
"13","BLB","Harry Gallatin","Truman State University",10,682,1947,13
"14","BLB","Scotty Hamilton","West Virginia University",NA,NA,1947,14
"15","BLB","Hugh Hampton","High Point University",NA,NA,1947,15
"16","BLB","Bob Jake","University of Vermont",NA,NA,1947,16
"17","BLB","Charles Raynor","University of Houston",NA,NA,1947,17
"18","BLB","Chick Reiser","New York University",3,171,1947,18
"19","BLB","John Rusinko","Pennsylvania State University",NA,NA,1947,19
"20","BOS","Bob Alemeida",NA,NA,NA,1947,20
"21","BOS","Hank Biasatti","Long Island University",1,6,1947,21
"22","BOS","Johnny Ezersky","University of Rhode Island",3,135,1947,22
"23","BOS","George Felt","Northwestern University",NA,NA,1947,23
"24","BOS","Jack Hewson","Temple University",1,24,1947,24
"25","BOS","John Kelly","University of Notre Dame",NA,NA,1947,25
"26","BOS","George Petrovick",NA,NA,NA,1947,26
"27","BOS","Gene Stump","DePaul University",3,148,1947,27
"28","CHS","Ralph Bishop","University of Washington",NA,NA,1947,28
"29","CHS","Jimmy Darden","University of Denver",1,26,1947,29
"30","CHS","Hank Decker","West Texas A&M University",NA,NA,1947,30
"31","CHS","Andy Phillip","University of Illinois at Urbana-Champaign",11,701,1947,31
"32","CHS","Jim Pollard","Stanford University",7,438,1947,32
"33","CHS","Ben Schadler","Northwestern University",1,37,1947,33
"34","CHS","Don Smith","University of Minnesota",1,8,1947,34
"35","CHS","Jack Stone","Kansas State University",NA,NA,1947,35
"36","CHS","Gene Vance","University of Illinois at Urbana-Champaign",5,175,1947,36
"37","NYK","Andy Duncan","College of William & Mary",3,136,1947,37
"38","NYK","Ray Evans","University of Kansas",NA,NA,1947,38
"39","NYK","Ed Golub",NA,NA,NA,1947,39
"40","NYK","Garland Head","Texas Tech University",NA,NA,1947,40
"41","NYK","Ron Livingston","Saint Mary's College of California",NA,NA,1947,41
"42","NYK","Dan Miller","Saint Louis University",NA,NA,1947,42
"43","NYK","Wat Misaka","University of Utah",1,3,1947,43
"44","NYK","Carl Reichert","University of Findlay",NA,NA,1947,44
"45","NYK","Tom Tomlinson","Southern Methodist University",NA,NA,1947,45
"46","PHW","Norman Butz","Saint Joseph's University",NA,NA,1947,46
"47","PHW","Jim Kaeding","York College of Pennsylvania",NA,NA,1947,47
"48","PHW","Ed Koffenberger","Duke University",NA,NA,1947,48
"49","PHW","Jim Pollard","Stanford University",7,438,1947,49
"50","PIT","Bob Alamo","Santa Clara University",NA,NA,1947,50
"51","PIT","George Brown",NA,NA,NA,1947,51
"52","PIT","Dick Ives","University of Iowa",NA,NA,1947,52
"53","PIT","Herman Knoche","Washington & Jefferson College",NA,NA,1947,53
"54","PIT","Fritz Nagy","University of Akron",1,50,1947,54
"55","PIT","Jack Walton","DePaul University",NA,NA,1947,55
"56","PRO","Joe Barry",NA,NA,NA,1947,56
"57","PRO","Dick Furey","University of St. Thomas",NA,NA,1947,57
"58","PRO","Bob Hubbard","Springfield College",2,62,1947,58
"59","PRO","Bob Joyce","Bates College",NA,NA,1947,59
"60","PRO","Roy Lipscomb","St. Mary's College of Maryland",NA,NA,1947,60
